theta,tx,ty
-0.000102618,2.60984,-1.0643
-0.000121506,2.57612,-1.07315
-7.2234e-05,2.56309,-1.03303
-0.000118085,2.61918,-0.98691
-7.48258e-05,2.53642,-0.948922
-8.57367e-05,2.55075,-0.938476
-0.000151371,2.49341,-0.900068
-0.000106757,2.62023,-0.847928
-6.26246e-05,2.55828,-0.796745
-0.000151788,2.55438,-0.747111
-0.000100908,2.54464,-0.754344
-6.58075e-05,2.4997,-0.781869
-0.00017744,2.48413,-0.653271
-7.57453e-05,2.50856,-0.601088
-8.98851e-05,2.52658,-0.533924
-0.000117797,2.48376,-0.552884
-0.000104944,2.49734,-0.555357
-9.55184e-05,2.37911,-0.473646
-0.000184294,2.58719,-0.413128
-0.000126334,2.42866,-0.428174
-0.000162859,2.45478,-0.345666
-0.000134925,2.48706,-0.389008
-1.15587e-05,2.45204,-0.23347
-0.00019589,2.519,-0.253711
-9.90393e-05,2.38981,-0.267574
-4.45016e-05,2.43706,-0.203587
-0.000147164,2.41835,-0.125624
-0.000118413,2.43153,-0.121029
-3.94359e-05,2.4114,-0.126791
-7.80953e-05,2.36672,-0.0545364
-0.000125937,2.37405,-0.0592693
-0.000104323,2.46895,-0.0408963
-6.00338e-05,2.4254,0.00617852
-7.89922e-05,2.42146,0.0271115
-8.69421e-05,2.45828,0.021847
-7.0699e-05,2.47975,0.0200807
-7.82995e-05,2.38843,0.0573132
-7.53633e-05,2.37247,0.0847093
-5.86851e-05,2.43136,0.0763441
-6.39453e-05,2.37052,0.130909
-9.67452e-05,2.37825,0.107757
-6.88171e-05,2.34686,0.2036
-8.76352e-05,2.46318,0.152683
-8.64657e-05,2.38875,0.213307
-7.00187e-05,2.38192,0.31092
-0.00011951,2.40946,0.287004
-0.000104711,2.37566,0.298842
-6.99801e-05,2.34537,0.317853
-9.37091e-05,2.30524,0.430758
-8.01371e-05,2.4258,0.362334
-9.05089e-05,2.35559,0.444533
-0.000104432,2.35228,0.460945
-0.000132448,2.354,0.465775
-6.58904e-05,2.40767,0.514774
-9.81317e-05,2.31786,0.597792
-7.98236e-05,2.29762,0.51312
-5.55199e-05,2.27184,0.542016
-0.000114531,2.308,0.625403
-7.03148e-05,2.31045,0.623855
-0.000104108,2.41277,0.663822
-3.6041e-05,2.23693,0.730864
-9.46949e-05,2.33704,0.710697
-1.64548e-05,2.36628,0.751203
-4.38443e-05,2.25358,0.713785
-4.88237e-05,2.35022,0.761647
-4.80726e-05,2.21335,0.768173
-2.62133e-05,2.33754,0.799274
-4.75009e-05,2.17176,0.763505
